,id,label
0,256442,unrelated
1,256443,unrelated
2,256444,unrelated
3,256445,unrelated
4,256446,unrelated
5,256447,unrelated
6,256448,unrelated
7,256449,unrelated
8,256450,unrelated
9,256451,unrelated
10,256452,agreed
11,256453,agreed
12,256454,unrelated
13,256455,unrelated
14,256456,unrelated
15,256457,unrelated
16,256458,agreed
17,256459,unrelated
18,256460,unrelated
19,256461,unrelated
20,256462,unrelated
21,256463,unrelated
22,256464,unrelated
23,256465,unrelated
24,256466,unrelated
25,256467,unrelated
26,256468,unrelated
27,256469,unrelated
28,256470,agreed
29,256471,unrelated
30,256472,unrelated
31,256473,agreed
32,256474,unrelated
33,256475,unrelated
34,256476,agreed
35,256477,agreed
36,256478,unrelated
37,256479,unrelated
38,256480,unrelated
39,256481,agreed
40,256482,unrelated
41,256483,unrelated
42,256484,agreed
43,256485,unrelated
44,256486,agreed
45,256487,unrelated
46,256488,unrelated
47,256489,unrelated
48,256490,agreed
49,256491,agreed
50,256492,unrelated
51,256493,unrelated
52,256494,agreed
53,256495,agreed
54,256496,unrelated
55,256497,unrelated
56,256498,unrelated
57,256499,agreed
58,256500,agreed
59,256501,unrelated
60,256502,unrelated
61,256503,unrelated
62,256504,agreed
63,256505,agreed
64,256506,unrelated
65,256507,unrelated
66,256508,unrelated
67,256509,unrelated
68,256510,unrelated
69,256511,unrelated
70,256512,unrelated
71,256513,agreed
72,256514,unrelated
73,256515,unrelated
74,256516,agreed
75,256517,unrelated
76,256518,unrelated
77,256519,unrelated
78,256520,unrelated
79,256521,unrelated
80,256522,unrelated
81,256523,unrelated
82,256524,unrelated
83,256525,unrelated
84,256526,agreed
85,256527,agreed
86,256528,unrelated
87,256529,agreed
88,256530,unrelated
89,256531,unrelated
90,256532,unrelated
91,256533,unrelated
92,256534,unrelated
93,256535,unrelated
94,256536,agreed
95,256537,unrelated
96,256538,unrelated
97,256539,unrelated
98,256540,agreed
99,256541,unrelated
100,256542,unrelated
101,256543,agreed
102,256544,unrelated
103,256545,unrelated
104,256546,unrelated
105,256547,unrelated
106,256548,unrelated
107,256549,unrelated
108,256550,disagreed
109,256551,unrelated
110,256552,unrelated
111,256553,agreed
112,256554,agreed
113,256555,unrelated
114,256556,unrelated
115,256557,unrelated
116,256558,agreed
117,256559,unrelated
118,256560,unrelated
119,256561,agreed
120,256562,agreed
121,256563,unrelated
122,256564,unrelated
123,256565,unrelated
124,256566,unrelated
125,256567,unrelated
126,256568,unrelated
127,256569,unrelated
128,256570,unrelated
129,256571,unrelated
130,256572,agreed
131,256573,agreed
132,256574,unrelated
133,256575,agreed
134,256576,unrelated
135,256577,unrelated
136,256578,unrelated
137,256579,unrelated
138,256580,unrelated
139,256581,agreed
140,256582,unrelated
141,256583,unrelated
142,256584,unrelated
143,256585,unrelated
144,256586,unrelated
145,256587,unrelated
146,256588,agreed
147,256589,agreed
148,256590,agreed
149,256591,unrelated
150,256592,agreed
151,256593,unrelated
152,256594,unrelated
153,256595,unrelated
154,256596,unrelated
155,256597,unrelated
156,256598,unrelated
157,256599,unrelated
158,256600,unrelated
159,256601,agreed
160,256602,agreed
161,256603,agreed
162,256604,agreed
163,256605,unrelated
164,256606,unrelated
165,256607,agreed
166,256608,unrelated
167,256609,unrelated
168,256610,unrelated
169,256611,unrelated
170,256612,agreed
171,256613,unrelated
172,256614,unrelated
173,256615,unrelated
